Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,583.695855951422,..,..
Afghanistan,AFG,GNI per capita (current LCU),NY.GNP.PCAP.CN,6581.89330498409,7983.59136740955,8574.24492267576,9078.20119194075,10310.3002939575,11370.7918381249,12303.2783090971,12271.1786920226,13346.8172356766,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21480.9661844494,24927.1075637497,28203.6220875692,33067.0293335551,35413.619313811,35250.3746178845,35852.4089296898,34906.6637682903,35881.9774575849
Afghanistan,AFG,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1450,1390,1300,1240,1180,1140,1120,1090,1030,993,954,905,858,810,786,701,673,638
Afghanistan,AFG,"Maternal mortality ratio (national estimate, per 100,000 live births)",SH.STA.MMRT.NE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,700,..,..,..,..,..,1194,..
Afghanistan,AFG,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,283.6,277.8,272,266.2,260.1,254,247.8,241.5,235.1,228.6,222.2,215.8,209.3,202.9,196.4,190.1,183.8,177.7,171.7,165.9,160.4,155.2,150.3,145.6,141.2,136.9,132.8,128.7,124.6,120.4,116.3,112.1,107.9,103.7,99.5,95.4,91.4,87.6,83.9,80.3,76.8,73.6,70.4,67.6,64.9
Afghanistan,AFG,"Prevalence of stunting, height for age (% of children under 5)",SH.STA.STNT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.2,..,..,..,..,..,..,59.3,..,..,..,..,..,..,..,..,40.4,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (% gross)",SE.SEC.ENRR,10.7758302688599,10.9106903076172,11.3727102279663,12.2764902114868,13.1315603256226,13.8217601776123,..,16.7642707824707,19.3281402587891,10.5939302444458,..,12.3710803985596,13.1000995635986,12.0980501174927,..,13.2018404006958,12.6558103561401,10.8499603271484,15.5900897979736,..,15.4239702224731,21.4419803619385,20.8224506378174,..,..,..,..,..,12.3246202468872,..,12.5488901138306,17.5680809020996,18.6168098449707,28.2558708190918,28.4933395385742,38.1939811706543,44.4203796386719,50.5672492980957,51.756908416748,53.618049621582,53.5751304626465,52.5829010009766,51.6699485778809,51.6559410095215,53.6431999206543
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,..,..,..,..,..,..,18.1576805114746,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31.4488506317139,..,..,..,..,..,..
Afghanistan,AFG,"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,0.142179995775223,0.138710007071495,0.141039997339249,0.151659995317459,0.172279998660088,0.179370000958443,..,..,0.258639991283417,0.445679992437363,..,0.459390014410019,0.454340010881424,0.497509986162186,..,0.490669995546341,..,..,0.511690020561218,..,0.381179988384247,0.281430006027222,0.375290006399155,..,..,..,..,..,0,..,0.350760012865067,0.209610000252724,0.3264200091362,0.36353999376297,0.375039994716644,0.425500005483627,0.481350004673004,0.497850000858307,0.554260015487671,0.557489991188049,0.552259981632233,0.556400001049042,0.557900011539459,0.571280002593994,0.568419992923737
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,38.6278918638443,37.4188554431481,29.7210671376957,31.114854912062,28.6359685844686,30.1050113574013,24.8922700059742,29.2975010547259,26.2100685374552,23.7436639877543,24.390873626371,22.8106627361766,22.1370413719574,20.6343227166798,25.7403140364582,26.4201990834448
